package_name,num_dependencies,num_dev_dependencies,has_scripts,description_length,repository_exists,license_exists,num_js_files,package_name_length,has_bin,has_install_script,num_install_scripts,num_maintainers,many_maintainers_flag,num_contributors,maintainer_to_contributor_ratio,days_since_last_update,inactive_package_flag,label
pp-react-content-loader@2.2.8,0,0,1,12,0,1,0,23,0,0,0,1,0,0,1.0,0,0,1
@bugdtest/test1@1.0.0,0,0,0,56,0,1,1,15,0,0,0,1,0,0,1.0,0,0,1
multirpc-sdk@4.2.2,1,0,1,42,0,1,2,12,0,1,1,1,0,0,1.0,0,0,1
multirpc-sdk@4.2.6,1,0,0,42,0,1,1,12,0,0,0,1,0,0,1.0,0,0,1
pupeteer-har@1.1.2,3,0,1,32,1,1,1,12,0,1,1,1,0,0,1.0,0,0,1
directx@1.0.0,0,0,1,139,0,1,2,7,0,1,1,1,0,0,1.0,0,0,1
shopee-pcs-ui@9.3.9,0,0,1,0,0,1,1,13,0,1,1,1,0,0,1.0,0,0,1
elf-stats-mulled-nightcap-782@1.0.2,0,0,0,49,0,1,1,29,0,0,0,1,0,0,1.0,0,0,1
graphprotocol-tools-monorepo@10.0.0,0,0,1,0,0,1,0,28,0,0,0,1,0,0,1.0,0,0,1
react-international-phone-js@1.0.0,0,0,1,70,1,1,0,28,0,0,0,1,0,0,1.0,0,0,1
react-international-phone-js@1.0.1,0,0,1,70,1,1,1,28,0,0,0,1,0,0,1.0,0,0,1
azure-documentdb-node@9.9.9,0,0,1,0,0,1,1,21,0,1,1,1,0,0,1.0,0,0,1
azure-documentdb-node@9.9.1,0,0,1,0,0,1,1,21,0,0,0,1,0,0,1.0,0,0,1
sendbird-groupchannel@1009.0.1,0,0,1,53,0,1,1,21,0,1,1,1,0,0,1.0,0,0,1
jsonlise-conf@8.9.8,4,3,1,38,0,1,17,13,0,0,0,1,0,0,1.0,0,0,1
epic-diesel-products@1.0.0,0,0,1,0,0,1,0,20,0,0,0,1,0,0,1.0,0,0,1
magicmicroservices@99.3.5,0,0,1,0,0,1,1,18,0,1,1,1,0,0,1.0,0,0,1
@hopper-b2b/volaris@311.0.0,0,0,1,100,0,1,7,19,0,1,2,1,0,0,1.0,0,0,1
eslint-plugin-unusedvar-fix@6.5.8,0,0,1,0,0,1,1,27,0,1,1,1,0,0,1.0,0,0,1
react-async-component-lifecycle-hooks@99.0.0,1,1,1,3,0,1,1,37,0,0,0,1,0,0,1.0,0,0,1
cursor-always-local@1.0.3,0,0,1,27,0,1,1,19,0,1,1,1,0,0,1.0,0,0,1
ember-nf-graph-examples@9.9.9,0,0,1,0,0,1,1,23,0,0,0,1,0,0,1.0,0,0,1
rtk-service@1.6.4,15,13,1,36,1,1,38,11,0,1,1,1,0,0,1.0,0,0,1
jenkins-trigger-action@4.1.0,0,0,1,0,0,1,0,22,0,0,0,1,0,0,1.0,0,0,1
jenkins-trigger-action@6.3.4,0,0,1,0,0,1,0,22,0,1,1,1,0,0,1.0,0,0,1
dpais-chat-template-pwa@3.0.2,0,0,1,0,0,1,0,23,0,1,1,1,0,0,1.0,0,0,1
filigren-icon@1.0.0,12,14,1,13,1,1,9,13,0,0,0,1,0,0,1.0,0,0,1
hb-otc@10.10.0,0,0,1,12,0,1,0,6,0,1,1,1,0,0,1.0,0,0,1
hb-otc@10.16.0,0,0,1,12,0,1,1,6,0,1,1,1,0,0,1.0,0,0,1
struct-logger@1.0.6,7,4,1,88,0,1,10,13,0,0,0,1,0,0,1.0,0,0,1
wegenenverkeer@1.0.0,0,0,1,124,0,1,1,14,0,1,1,1,0,0,1.0,0,0,1
verizon-media-open-source-project-protal@1.0.0,0,0,1,0,0,1,0,40,0,0,0,1,0,0,1.0,0,0,1
verizon-media-open-source-project-protal@2.0.1,0,0,1,0,0,1,0,40,0,1,1,1,0,0,1.0,0,0,1
@corp-ais/mychannel-shared-libs@1.0.27,0,0,1,21,0,1,0,31,0,1,1,1,0,0,1.0,0,0,1
consgraphqlnodeserv@1.0.0,0,0,1,0,0,1,1,19,0,0,0,1,0,0,1.0,0,0,1
sw-cur1@1.3.0,0,0,1,26,0,1,1,7,1,0,0,1,0,0,1.0,0,0,1
gutenberg-kit@1.0.0,0,0,1,0,0,1,1,13,0,1,1,1,0,0,1.0,0,0,1
@espace-client-axafr/savings-types@1.0.0,0,0,1,45,0,1,1,34,0,1,1,1,0,0,1.0,0,0,1
@toptal/davinci-monorepo@12.1.1,19,1,1,22,1,1,98,24,1,1,2,1,0,0,1.0,0,0,1
@toptal/davinci-monorepo@12.1.0,19,1,1,22,1,1,98,24,1,0,0,1,0,0,1.0,0,0,1
traceviz-angular-axes@10.0.1,0,0,1,120,0,1,0,21,0,1,1,1,0,0,1.0,0,0,1
elf-stats-candystriped-chimney-879@99.0.0,0,0,1,25,0,1,1,34,0,1,1,1,0,0,1.0,0,0,1
solana-pump-test@2.5.6,2,0,1,96,0,1,2,16,1,1,1,1,0,0,1.0,0,0,1
solana-pump-test@2.3.1,1,0,1,96,0,1,2,16,1,1,2,1,0,0,1.0,0,0,1
solana-pump-test@2.4.1,2,0,1,96,0,1,2,16,1,1,2,1,0,0,1.0,0,0,1
raffle-node@11.3.0,0,0,1,0,0,1,1,11,0,1,1,1,0,0,1.0,0,0,1
canary-ng@1337.1.0,0,0,1,448,0,1,1,9,0,1,1,1,0,0,1.0,0,0,1
circuitx-gesture-navigation-test@10.0.1,0,0,1,46,0,1,0,32,0,1,1,1,0,0,1.0,0,0,1
pixelary@9.9.9,0,0,1,0,0,1,0,8,0,1,1,1,0,0,1.0,0,0,1
sap-avatars@0.0.0,1,0,1,0,0,1,1,11,0,1,1,1,0,0,1.0,0,0,1
astra-db-recommendations-starter@1.0.0,0,0,1,0,0,1,0,32,0,0,0,1,0,0,1.0,0,0,1
popper.html@1.0.0,0,0,1,37,0,1,1,11,0,1,2,1,0,0,1.0,0,0,1
linter-coffee-variables@1.0.0,0,0,1,0,0,1,1,23,0,1,1,1,0,0,1.0,0,0,1
agoda.cronos.activities.client-side@1.0.0,0,0,1,29,0,0,1,35,0,1,1,1,0,0,1.0,0,0,1
agoda.cronos.activities.client-side@1.0.21,0,0,1,0,0,1,2,35,0,1,1,1,0,0,1.0,0,0,1
