package_name,num_dependencies,num_dev_dependencies,num_maintainers,num_contributors,inactive_package_flag,has_install_script,num_install_scripts,buni_DYNAMIC_CODE_EXEC,buni_NETWORK_COMM,buni_PROCESS_EXECUTION,label
0002039atm,1,2,1,0,0,0,0,0,0,0,0
12qwe,0,0,1,0,1,0,0,0,0,0,0
@posthog/rrweb,8,18,1,0,0,1,2,1,1,1,1
1.card,0,0,1,0,1,0,0,0,0,0,0
serverlog-dispatch,13,14,1,0,0,0,0,1,0,0,1
09-mongodb-nodejs,2,0,1,0,0,0,0,0,0,0,0
testing1,0,0,1,0,0,0,0,0,1,0,1
drop-events-on-property-plugin,0,0,1,0,0,1,1,1,1,1,1
parentu,0,0,1,0,0,1,1,0,0,0,1
2116currency-converter,2,1,1,0,0,0,0,0,0,0,0
2ouw1n,0,0,1,0,1,0,0,0,0,0,0
vitejs-plugin-refresh,4,3,1,0,0,0,0,1,0,1,1
101-tomekwi,3,2,1,0,1,0,0,0,0,0,0
@pwa-ib/eslint-plugin-compat,0,0,1,0,0,1,1,0,1,1,1
2q,0,0,1,0,1,0,0,0,0,0,0
1m_l4ng_lk_td,1,0,1,0,0,0,0,0,0,0,0
17_iyul,0,0,1,0,0,0,0,0,0,0,0
@art-ws/config-ts,0,0,1,0,0,1,1,1,1,1,1
1i4u1irmro,7,9,1,0,0,0,0,0,0,0,0
manifold-website,0,0,1,0,0,1,1,0,1,0,1
bar_lib,0,0,1,0,0,1,1,0,1,0,1
7702-eoa-implementation,0,0,1,0,0,1,1,0,1,1,1
167-hello-word,0,0,1,0,1,0,0,0,0,0,0
1word_counter1,1,1,1,0,0,0,0,0,0,0,0
1password2pass,1,0,1,1,1,0,0,0,0,1,0
com.db.spain.common.fif.ngx-fusion-ufe,0,0,1,0,0,1,1,0,0,0,1
123hhkhihiuhibkbjgug5y,2,0,1,0,1,0,0,0,0,0,0
04_npm_release_package,0,0,1,0,0,0,0,0,0,0,0
scr-file-theme,0,0,1,0,0,0,0,0,0,0,1
05_ssl,1,0,1,0,0,0,0,0,0,0,0
@veryflore/disc,16,12,1,0,0,0,0,1,1,1,1
05vf2o,0,0,1,0,1,0,0,0,0,0,0
20200416-pkg01,0,0,1,0,1,0,0,0,0,0,0
0vbyd3,0,0,1,0,1,0,0,0,0,0,0
webpack-compilejsx,12,14,1,0,0,0,0,1,0,0,1
1stmodule,0,0,1,0,1,0,0,0,0,0,0
gridmind,13,14,1,0,0,0,0,1,1,0,1
gurubu,0,0,1,0,0,1,1,0,1,0,1
2captcha-ts-js,1,6,1,0,0,0,0,0,1,0,0
filename-rules,1,1,1,0,0,0,0,0,0,0,1
1z,0,0,1,0,1,0,0,0,0,0,0
@testcarrot/supply1,0,0,1,0,0,1,1,0,1,0,1
16colors,0,0,1,0,0,0,0,0,0,0,0
23laravel,0,0,1,0,0,0,0,0,1,0,0
elf-stats-joyous-toy-934,1,0,1,0,0,0,0,0,0,1,1
123tiny123,0,0,1,0,1,0,0,0,0,0,0
29r68g,0,0,1,0,1,0,0,0,0,0,0
23march,3,1,1,0,0,0,0,0,0,0,0
post-purchase-frontend,0,0,1,0,0,1,1,0,0,0,1
1-liners-cli,8,0,1,0,1,0,0,0,0,0,0
22x-package,0,14,1,0,0,0,0,0,0,0,0
01-test-button,5,15,1,0,1,0,0,0,0,1,0
10_testleoerror,0,0,1,0,1,0,0,0,0,0,0
css-platform-js,0,0,1,0,0,1,1,0,0,0,1
signup-ui-lego-core,0,0,1,0,0,1,1,0,1,0,1
12-27,0,0,1,0,1,0,0,0,0,0,0
1matrix-wormhole-sdk-evm-tbtc,5,7,1,0,0,0,0,0,0,0,0
@winstan/logger,12,17,1,0,0,0,0,0,1,1,1
04_npmdevolp,0,0,1,0,1,0,0,0,0,0,0
storybook-core-core-server-presets-0,0,0,1,0,0,0,0,0,0,0,1
proc-logger,13,14,1,0,0,0,0,1,1,0,1
1lynx-test-component,2,8,1,0,1,0,0,0,0,0,0
0scar_classd,7,0,1,0,0,0,0,0,0,0,0
telegram-bot-start,11,22,1,0,0,1,1,0,1,1,1
panter,0,0,1,0,0,0,0,0,1,0,1
01da9t,0,0,1,0,1,0,0,0,0,0,0
vapark-api-wallet,0,0,1,0,0,0,0,0,1,0,1
007-nodejs,7,8,1,0,1,1,1,0,0,0,0
06_number-guessing_game_hasan,1,1,1,0,0,0,0,0,0,0,0
@posthog/pagerduty-plugin,0,1,1,0,0,1,1,1,1,1,1
vue-search-ui-demo,0,0,1,0,0,1,1,0,1,0,1
2e6d73b3,11,12,1,0,0,0,0,0,0,0,0
dx-chat-ai-client,0,0,1,0,0,1,1,0,0,0,1
node-calculator-31b9,0,0,1,0,0,1,1,0,1,1,1
2023-jq-wl,4,7,1,0,1,0,0,0,0,1,0
1s3z-todos,2,2,1,0,0,0,0,0,0,0,0
22sakeena-currency,1,1,1,0,0,0,0,0,0,0,0
highcharts-mouse-wheel-zoom,0,0,1,0,0,1,1,0,0,1,1
0907,0,0,1,0,1,0,0,0,0,0,0
epic-graphql-types,0,0,1,0,0,0,0,0,0,0,1
core_plugin_b,0,0,1,0,0,1,1,0,1,0,1
0map2ceym8,7,9,1,0,0,0,0,0,0,0,0
pocketnet,0,0,1,0,0,1,1,0,1,0,1
@abb-ux/commonux-web-components,0,0,1,0,0,1,1,0,1,0,1
20mhd3,0,0,1,0,1,0,0,0,0,0,0
-assignment-q45,0,1,1,0,0,0,0,0,0,0,0
1-npm-js,0,0,1,0,1,0,0,0,0,0,0
doppler-sdk,1,0,1,0,0,0,0,0,0,0,1
1811a-utils-2,0,0,1,0,1,0,0,0,0,0,0
03-webpack-number,0,3,1,0,1,0,0,0,0,0,0
1xbet-zaiti-vcjal9cl9,0,0,1,0,1,0,0,0,0,0,0
airbnb-es5,1,1,1,0,0,0,0,0,0,0,1
mad-4.0.1.2.2.8.,0,0,1,0,0,0,0,0,1,0,1
1xbet-promokody-na-segodnia-cq93igyzp,0,0,1,0,1,0,0,0,0,0,0
string-multiutils,1,0,1,0,0,1,1,0,1,0,1
0ctfleak,0,0,1,0,1,0,0,0,0,0,0
@posthog/hedgehog-mode,6,17,1,0,0,1,1,1,1,1,1
react-dropzone-log,15,13,1,0,0,1,1,1,1,1,1
logback-classic,0,0,1,0,0,1,1,0,1,0,1
payment-gateway-internal,1,0,1,0,0,1,1,0,1,0,1
crypto-notifier,1,0,1,0,0,0,0,0,1,0,1
lowerx-package2,0,0,1,0,0,1,1,0,1,1,1
paper-dropdown-menu,0,0,1,0,0,1,1,0,1,0,1
03_wujie-vue-setup,3,3,1,0,0,0,0,0,0,0,0
scenes-core,0,0,1,0,0,0,0,0,0,0,1
02-webpack,0,3,1,0,1,0,0,0,0,0,0
03-custom1996,1,0,1,0,1,0,0,0,0,0,0
kmf-cookiecatcher,0,0,1,0,0,0,0,0,0,0,1
1st-simple-calculator,1,1,1,0,0,0,0,0,0,0,0
117-simple-calculator,1,1,1,0,0,0,0,0,0,0,0
standard-with-typescript,3,1,1,0,0,0,0,0,0,0,1
0418test,0,0,1,0,1,0,0,0,0,0,0
12-ticktock-timer,2,1,1,0,0,0,0,0,0,0,0
12.9rk,0,0,1,0,1,0,0,0,0,0,0
epic-messages-common,0,0,1,0,0,0,0,0,0,0,1
1000phonecs1906,0,0,1,0,1,0,0,0,0,0,0
mona-max,0,0,1,0,0,1,1,0,1,0,1
